,eng,it
play,PLAY,GIOCA
commands,COMMANDS,COMANDI
exit,EXIT,ESCI
records,RECORDS,RECORD
language,LANG: ENG,LINGUA: IT
level_1,LEVEL1,LIVELLO 1
level_2,LEVEL 2,LIVELLO 2
level_3,LEVEL 3,LIVELLO 3
time,TIME,TEMPO
close,CLOSE,CHIUDI
next,NEXT,AVANTI
thanks,Thanks for playing!,Grazie per aver giocato!
select_level,SELECT A LEVEL,SELEZIONA UN LIVELLO
level_completed,LEVEL COMPLETED,LIVELLO COMPLETATO
pause,-- PAUSE --,-- PAUSA--
resume,RESUME,RIPRENDI
forward,FORWARD,AVANTI
backward,BACKWARD,INDIETRO
try_again,TRY AGAIN,RIPROVA
right,RIGHT,DESTRA
left,LEFT,SINISTRA
run,RUN,CORRI
crouch,CROUCH,ACCOVACCAITI
pick,PICK,PRENDI
throw,THROW,LANCIA
release,RELEASE,RILASCIA
scan,SCAN,SCANSIONA
radio,RADIO,RADIO
pause_c,PAUSE,PAUSA
no_time,No time,Nessun tempo
major,Major O,Major O
1_1K_1,"According to our information, there's an elevator that will take you to the second floor.",Secondo le nostre informazioni c'è un ascensore che ti porterà al secondo piano
1_1K_2,"The elevator will surely be guarded by terrorists, don't get spotted!","L'ascensore sarà sicuramente protetto dai terroristi, non farti scoprire!"
1_1K_3,We absolutely need to reach the center of the laboratory.,Dobbiamo assolutamente raggiungere il centro del laboratorio
1_1K_4,"If you need to, use your powers, the objective is always to complete the mission.","Se ne hai bisogno strutta i tuoi poteri, l'obbiettivo è completare la missione."
1_1A_1,"Remember: the mission is unofficial, you absolutely must not be discovered!","Ricorda: la missione non è ufficiale, non devi assolutamente farti scoprire!"
1_1A_2,There should be some small objects around that you can use!,Ci dovrebbero essere dei piccoli oggetti che potresti utilizzare lì intorno!
1_1A_3,"Even if it's not the best solution, you should attack the enemy before they spot you.",Anche se non è la miglior soluzione dovresti attaccare il nemico prima che ti scopra.
1_1B_1,Watch out for that dead-end alley.,Attento a quel vicolo cieco.
1_1B_2,They might be waiting for you just around the corner.,Potrebbero aspettarti non appena giri l'angolo.
1_1B_3,Your powers can detect even nearby life forces.,I tuoi poteri possono rilevare anche le forze di vita nelle vicinanze.
1_1B_4,"Luckily, the terrorists aren't robots.",Per fortuna i terroristi non sono dei robot.
1_1C_1,The elevator should be right in front of you!,L'ascensore dovrebbe essere davanti a te!
1_1C_2,"You're almost there, don't give up now!","Ci sei quasi, non mollare proprio adesso!"
1_1C_3,You should neutralize that guard if you're having trouble.,"Dovresti neutralizzare quella guardia, se ti dà problemi."
1_1C_4,Find something nearby to take him down.,Trova qualcosa nelle vicinanze per neutralizzarlo.
1_2A_1,"After this room, the storage areas should be next.",Dopo questa stanza dovrebbero esserci i magazzini
1_2A_2,"Keep it up, and don't forget about the presence of guards.","Continua così, non dimenticarti della presenza delle guardie."
1_2A_3,You should neutralize that guard if you're having trouble.,Dovresti neutralizzare quella guardia se hai problemi.
1_2A_4,Find something nearby to take him down.,Trova qualcosa nelle vicinanze per neutralizzarlo.
1_2B_1,The exit should be nearby.,L'uscita dovrebbe essere lì vicino.
1_2B_2,"You're almost there, don't give up!","Sei quasi arrivata, non mollare ora."
1_INIT_1,"Can you hear me, R? Do you copy",Mi senti R? Mi ricevi?
1_INIT_2,"Perfect. You've made it to the lab, your mission starts now. Let's go over the objective one last time: you’ve been chosen to infiltrate MK Corp’s laboratory. The facility has been taken over by terrorists.","Perfetto. Sei arrivata al laboratorio, la tua missione inizia ora. Ricapitoliamo per l'ultima volta l'obiettivo: sei stata scelta per infiltrarti nel laboratorio della MK Corp, attualmente occupato dai terroristi della OverHED, "
1_INIT_3,They managed to eliminate the military personnel guarding the site and seize control. The OverHED terrorists’ target is the HED meteorite fragment stored in the heart of the lab.,"sono riusciti a eliminare i militari di guardia e a occuparlo. L'obiettivo dei terroristi è il frammento del meteorite HED, custodito nel cuore del laboratorio."
1_INIT_4,"The public isn't aware of this location, so we can't risk attracting media attention by sending in the military. Also, the president wouldn’t be too happy about that.","L'opinione pubblica non è a conoscenza di questo sito, non possiamo permetterci di attirare l'attenzione dei media o coinvolgere l'esercito, inoltre il presidente non ne sarebbe affattofelice."
1_INIT_5,"Your task is to recover the fragment yourself. Afterward, we’ll ensure you have a safe way out.","Il tuo compito sarà recupare tu stessa il frammento, successivamente ti garantiremo una via di uscita sicura."
1_INIT_6,"Don’t let the enemies spot you, use your powers if necessary.","Non farti scoprire dai nemici, usa i tuoi poteri se necessario."
1_INIT_7,"One last thing. Since this is your first mission in a while, maybe we should go over your powers again?","Un'ultima cosa. Visto che è la tua prima missione dopo tanto, non dovremmo ripassare i tuoi poteri?"
1_INIT_8,Use 'F' to scan the surrounding area for lifeforms or useful objects.,"Usa \""F\"" per scansionare l'area circostante in cerca di forme di vita o oggetti che potrebbero essere utili."
1_INIT_9,"With the left mouse button, aim at a scanned object to pick it up. Hold and release the left button to throw it.","con il tasto sinistro del mouse punta un oggetto scansionato per raccoglierlo, per lanciarlo tieni premuto il tasto sinistro e rilascialo,"
1_INIT_10,You could even stun someone by hitting them. Remember to take advantage of blind spots in the environment by crouching with 'CTRL'.,"potresti addirittura stordire qualcuno colpendolo. Ricordati di sfruttare tutti i punti ciechi dell'ambiente accovacciandoti con \""CTRL\""."
1_INIT_11,"You can contact me anytime via radio using the 'ALT' key, or take a break with the 'P' key.","Puoi contattarmi in qualsiasi momento con la radio attraverso il tasto \""ALT\"", oppure prenditi una pausa con il tasto \""P\""."
1_INIT_12,We're counting on you! Time is running out!,Contiamo su di te! Il tempo stringe!
2_1K_1,This floor should be some sort of storage area.,Questo piano dovrebbe essere una sorta di magazzino.
2_1K_2,"According to the map, the exit should be to the northeast",Secondo la planimetria l'uscita dovrebbe essere a nord est.
2_1K_3,Keep your eyes open.,Tieni gli occhi aperti.
2_1K_4,"The exit is to the northeast, stay alert!","L'uscita è a nord est, non abbassare la guardia!"
2_1A_1,"The door should be there, no doubt about it.","La porta dovrebbe essere lì, non ci sono dubbi."
2_1A_2,"The map doesn't lie, the door is there.","La planimetria non sbaglia, la porta è lì."
2_1B_1,"You're doing great, after this room, the exit should be ahead.","Stai andando alla grande, dopo questa stanza dovrebbe esserci l'uscita."
2_1B_2,Sometimes it's better to wait for the right moment to act rather than rush in.,A volte è meglio aspettare il momento giusto per agire invece di avere fretta.
2_1C_1,You're in the central part of the storage area.,Sei nella parte centrale del magazzino.
2_1C_2,There should be an exit somewhere around there.,Dovrebbe esserci un uscita proprio da quelle parti.
2_1C_3,You should find the exit in this room.,Dovresti trovare l'uscita in questa stanza.
2_1C_4,Avoid wasting time in rooms full of junk.,Evita di perdere tempo nelle stanze con le cianfrusaglie.
2_1D_1,The door is right there.,La porta è proprio lì
2_1D_2,Don’t waste time!,Non perdere tempo!
2_1D_3,The door won’t open? Maybe it’s connected to some logistics-related mechanism.,La porta non si apre? Forse è legata a qualche meccanismo legato alla logistica.
2_1D_4,I can’t help you from here—you’ll have to find a solution on your own!,"Non posso darti una mano da qui, dovrai trovare una soluzione da sola!"
3_1K_1,The objective is on the floor below.,L'obbiettivo è al piano sottostante.
3_1K_2,There should also be an elevator here to go down to the lower floor.,Anche qui dovrebbe esserci un ascensore per scendere al piano sottostante.
3_1K_3,The objective is to the south.,L'obbiettivo è a sud.
3_1K_4,Don’t get spotted.,Non farti scoprire.
3_2A_1,Watch out for dead-end alleys—enemies could be waiting for you on the other side.,Attento ai vicoli ciechi potrebbero aspettarti dei nemici dall'altra parte.
3_2A_2,Proceed with caution.,Prosegui con attenzione.
3_2A_3,Make full use of your powers; don’t rely on chance alone.,"Usa al massimo i tuoi poteri, non affidarti solo al caso."
3_2B_1,The elevator should be very close to you.,L'ascensore dovrebbe essere molto vicino a te.
3_2B_2,Don’t mess everything up now.,Non mandare tutto all'aria proprio ora.
3_2B_3,Take cover and wait for the right moment if you need to.,Riparati e aspetta il momento opportuno se ne hai bisogno.
3_1A_1,The objective should be after this room.,L'obbiettivo dovrebbe essere dopo questa stanza.
3_1A_2,"Hang in there, it’s almost over!""","Tieni duro, manca poco!"
3_1A_3,There should be many objects you could use in case of danger.,Ci dovrebbero essere molti oggetti che potresti utilizzare in caso di pericolo.
